2020-06-27 17:18:28,098 INFO __main__ center:640   x_medium: 626  <max 475 |mid 420 | min 300> Position: 434
2020-06-27 17:18:28,098 INFO __main__ centerY:360   y_medium: 256  <max 375 |mid 350 | min 200> PositionY: 356
2020-06-27 17:18:28,152 INFO __main__ center:640   x_medium: 607  <max 475 |mid 420 | min 300> Position: 436
2020-06-27 17:18:28,152 INFO __main__ centerY:360   y_medium: 255  <max 375 |mid 350 | min 200> PositionY: 354
2020-06-27 17:18:28,209 INFO __main__ center:640   x_medium: 604  <max 475 |mid 420 | min 300> Position: 438
2020-06-27 17:18:28,210 INFO __main__ centerY:360   y_medium: 242  <max 375 |mid 350 | min 200> PositionY: 352
2020-06-27 17:18:28,465 INFO __main__ center:640   x_medium: 613  <max 475 |mid 420 | min 300> Position: 438
2020-06-27 17:18:28,465 INFO __main__ centerY:360   y_medium: 228  <max 375 |mid 350 | min 200> PositionY: 350
2020-06-27 17:18:28,754 INFO __main__ center:640   x_medium: 611  <max 475 |mid 420 | min 300> Position: 438
2020-06-27 17:18:28,755 INFO __main__ centerY:360   y_medium: 221  <max 375 |mid 350 | min 200> PositionY: 348
2020-06-27 17:18:28,812 INFO __main__ center:640   x_medium: 609  <max 475 |mid 420 | min 300> Position: 440
2020-06-27 17:18:28,813 INFO __main__ centerY:360   y_medium: 253  <max 375 |mid 350 | min 200> PositionY: 346
2020-06-27 17:18:29,067 INFO __main__ center:640   x_medium: 633  <max 475 |mid 420 | min 300> Position: 440
2020-06-27 17:18:29,067 INFO __main__ centerY:360   y_medium: 283  <max 375 |mid 350 | min 200> PositionY: 344
2020-06-27 17:18:29,132 INFO __main__ center:640   x_medium: 675  <max 475 |mid 420 | min 300> Position: 438
2020-06-27 17:18:29,132 INFO __main__ centerY:360   y_medium: 326  <max 375 |mid 350 | min 200> PositionY: 342
2020-06-27 17:18:29,196 INFO __main__ center:640   x_medium: 680  <max 475 |mid 420 | min 300> Position: 436
2020-06-27 17:18:29,196 INFO __main__ centerY:360   y_medium: 361  <max 375 |mid 350 | min 200> PositionY: 340
2020-06-27 17:18:29,266 INFO __main__ center:640   x_medium: 684  <max 475 |mid 420 | min 300> Position: 434
2020-06-27 17:18:29,267 INFO __main__ centerY:360   y_medium: 349  <max 375 |mid 350 | min 200> PositionY: 340
2020-06-27 17:18:29,360 INFO __main__ center:640   x_medium: 684  <max 475 |mid 420 | min 300> Position: 432
2020-06-27 17:18:29,360 INFO __main__ centerY:360   y_medium: 392  <max 375 |mid 350 | min 200> PositionY: 340
2020-06-27 17:18:29,427 INFO __main__ center:640   x_medium: 679  <max 475 |mid 420 | min 300> Position: 430
2020-06-27 17:18:29,427 INFO __main__ centerY:360   y_medium: 413  <max 375 |mid 350 | min 200> PositionY: 342
2020-06-27 17:18:29,484 INFO __main__ center:640   x_medium: 688  <max 475 |mid 420 | min 300> Position: 428
2020-06-27 17:18:29,484 INFO __main__ centerY:360   y_medium: 427  <max 375 |mid 350 | min 200> PositionY: 344
2020-06-27 17:18:29,542 INFO __main__ center:640   x_medium: 691  <max 475 |mid 420 | min 300> Position: 426
2020-06-27 17:18:29,543 INFO __main__ centerY:360   y_medium: 462  <max 375 |mid 350 | min 200> PositionY: 346
2020-06-27 17:18:29,802 INFO __main__ center:640   x_medium: 656  <max 475 |mid 420 | min 300> Position: 426
2020-06-27 17:18:29,802 INFO __main__ centerY:360   y_medium: 444  <max 375 |mid 350 | min 200> PositionY: 348
2020-06-27 17:18:30,052 INFO __main__ center:640   x_medium: 615  <max 475 |mid 420 | min 300> Position: 426
2020-06-27 17:18:30,052 INFO __main__ centerY:360   y_medium: 437  <max 375 |mid 350 | min 200> PositionY: 350
2020-06-27 17:18:30,355 INFO __main__ center:640   x_medium: 634  <max 475 |mid 420 | min 300> Position: 426
2020-06-27 17:18:30,355 INFO __main__ centerY:360   y_medium: 404  <max 375 |mid 350 | min 200> PositionY: 352
2020-06-27 17:18:30,609 INFO __main__ center:640   x_medium: 610  <max 475 |mid 420 | min 300> Position: 426
2020-06-27 17:18:30,609 INFO __main__ centerY:360   y_medium: 357  <max 375 |mid 350 | min 200> PositionY: 354
2020-06-27 17:18:30,659 INFO __main__ center:640   x_medium: 542  <max 475 |mid 420 | min 300> Position: 428
2020-06-27 17:18:30,659 INFO __main__ centerY:360   y_medium: 305  <max 375 |mid 350 | min 200> PositionY: 354
2020-06-27 17:18:30,717 INFO __main__ center:640   x_medium: 540  <max 475 |mid 420 | min 300> Position: 430
2020-06-27 17:18:30,717 INFO __main__ centerY:360   y_medium: 314  <max 375 |mid 350 | min 200> PositionY: 352
2020-06-27 17:18:30,775 INFO __main__ center:640   x_medium: 535  <max 475 |mid 420 | min 300> Position: 432
2020-06-27 17:18:30,775 INFO __main__ centerY:360   y_medium: 308  <max 375 |mid 350 | min 200> PositionY: 350
